location_cd,country,state,postcode
374,Svalbard & Jan Mayen Islands,Iowa,53759
322,South Africa,Iowa,97021
342,Greenland,Iowa,09754
16863,Namibia,Iowa,63096
378,New Zealand,Iowa,18693
18619,Dominican Republic,Iowa,18367
17560,Congo,Iowa,86042
17102,Armenia,Iowa,01634
326,Bosnia and Herzegovina,Iowa,28070
335,Georgia,Iowa,17430
16072,Monaco,Iowa,86867
43,Paraguay,Iowa,95957
410,Saint Helena,Iowa,54828
114,Tonga,Iowa,21503
18781,French Polynesia,Ohio,13681
91,Ireland,Ohio,54151
16266,Saint Martin,Ohio,77389
4129,Swaziland,Ohio,26533
17352,Tunisia,Ohio,83852
16940,Chile,Ohio,08079
204,Greece,Ohio,92859
17039,Belize,Ohio,66763
16544,Yemen,Ohio,81205
19054,Papua New Guinea,Utah,57656
355,Botswana,Utah,09208
17037,Fiji,Utah,67198
19267,Christmas Island,Utah,40915
17920,Philippines,Utah,42304
247,Israel,Utah,99753
349,Vietnam,Utah,01077
19144,Bolivia,Utah,40953
376,Portugal,Utah,66209
19218,Nauru,Utah,02955
3765,Bahrain,Idaho,59891
108,Togo,Idaho,97818
188,Panama,Idaho,79803
109,Barbados,Idaho,40204
3527,Pitcairn Islands,Idaho,83106
17169,Chile,Idaho,74592
307,Georgia,Idaho,87804
16995,Azerbaijan,Idaho,78011
3737,Taiwan,Idaho,62067
59,Italy,Idaho,34908
18680,Haiti,Maine,77465
1224,Egypt,Maine,37205
18348,Barbados,Maine,60104
15657,Micronesia,Maine,47053
347,Luxembourg,Maine,57234
3571,Ghana,Maine,70835
15542,Saint Martin,Texas,22942
17456,Madagascar,Texas,37169
76,Trinidad and Tobago,Texas,91570
16972,Slovenia,Texas,26164
251,Morocco,Texas,56523
273,Oman,Texas,51260
16660,Georgia,Texas,66930
184,Macedonia,Alaska,97140
16228,Belgium,Alaska,49115
4051,Gambia,Alaska,12214
190,Chad,Alaska,54423
17921,Nepal,Alaska,69297
162,Belgium,Hawaii,49791
16910,Djibouti,Hawaii,13246
373,Saudi Arabia,Hawaii,69148
316,Pitcairn Islands,Hawaii,82309
182,Burundi,Hawaii,85679
244,South Africa,Hawaii,30234
196,Austria,Hawaii,88032
32,French Southern Territories,Hawaii,69368
1301,Singapore,Kansas,53375
38,Hong Kong,Kansas,00547
72,Jordan,Kansas,01678
384,Cayman Islands,Kansas,64301
17550,Norway,Kansas,40656
311,Reunion,Kansas,09381
22,Northern Mariana Islands,Kansas,49919
79,Guam,Kansas,97444
674,Indonesia,Kansas,49675
366,Rwanda,Kansas,37654
0,Iraq,Kansas,12112
47,Cyprus,Nevada,76058
143,Fiji,Nevada,66111
16434,Korea,Nevada,47279
4283,Malta,Nevada,57597
203,Montenegro,Nevada,13948
17133,Iran,Oregon,48566
176,Grenada,Oregon,58882
183,El Salvador,Oregon,94006
1096,Turks and Caicos Islands,Oregon,58870
236,Burkina Faso,Oregon,54845
348,Nepal,Oregon,63666
231,Lebanon,Alabama,00793
17105,Yemen,Alabama,14127
3584,Cape Verde,Alabama,69636
4127,Liberia,Alabama,76666
17196,Pitcairn Islands,Alabama,26176
4126,United States Minor Outlying Islands,Alabama,86549
18877,Ecuador,Alabama,33681
359,Saint Pierre and Miquelon,Alabama,60399
230,Svalbard & Jan Mayen Islands,Arizona,57071
404,Vanuatu,Arizona,90247
16654,Djibouti,Arizona,14143
19141,Bahrain,Arizona,68698
16913,Myanmar,Arizona,03709
243,Kenya,Arizona,83058
82,Finland,Arizona,46767
414,Antarctica (the territory South of 60 deg S),Arizona,16236
277,South Georgia and the South Sandwich Islands,Arizona,32016
233,Barbados,Arizona,64113
2489,Mauritius,Arizona,88354
16934,United Arab Emirates,Florida,13367
16999,Christmas Island,Florida,65258
191,Niue,Florida,38450
144,Egypt,Georgia,80517
3849,Liberia,Georgia,64039
1296,Oman,Georgia,12601
16808,Sierra Leone,Georgia,77286
19226,Brazil,Georgia,25058
16788,Congo,Georgia,07997
3575,Faroe Islands,Georgia,50702
1095,Belize,Indiana,66226
101,Norway,Indiana,07629
235,Central African Republic,Indiana,45371
246,New Zealand,Indiana,74137
4198,Uruguay,Montana,52559
15638,Palestinian Territory,Montana,32371
16719,Papua New Guinea,Montana,79283
17028,Peru,Montana,11147
18929,Cape Verde,Montana,23362
16302,Cook Islands,Montana,68296
1086,Wallis and Futuna,Montana,45060
56,Martinique,Montana,17991
321,Wallis and Futuna,Vermont,45075
4052,Dominica,Vermont,66663
239,Czech Republic,Vermont,42117
1102,Papua New Guinea,Vermont,98583
1179,Netherlands Antilles,Vermont,93286
17140,Comoros,Vermont,96790
147,Togo,Vermont,57876
1137,United States of America,Wyoming,47497
23,Suriname,Wyoming,97924
3837,Czech Republic,Wyoming,14840
19231,Tajikistan,Wyoming,49156
940,Costa Rica,Wyoming,48034
15651,Congo,Wyoming,64455
15745,Seychelles,Wyoming,62615
264,Mongolia,Wyoming,73566
19270,Sri Lanka,Wyoming,12306
16245,Bosnia and Herzegovina,Arkansas,15378
18974,Palau,Arkansas,20655
